trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,10,-221.81727834815348,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",1
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-109.94600034045173,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-68.36225695601394,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-141.1808227898474,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-61.82934511104376,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-193.5154245771095,"{0: 7, 1: 6, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-83.89040379265455,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-49.14749809120541,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,17,-51.52456771779882,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-87.88696278717703,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-105.31848111505009,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,3,-115.00722913409912,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-218.6133569870547,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-151.8512324320077,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-97.62205386843004,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-150.42608258561665,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-81.70191957584531,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-138.34678112178503,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-67.133473268194,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-163.22394196692414,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,10,-13.835085803684656,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-59.010761510478105,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-85.1917240372535,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-139.77240951133336,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,5,-67.38797909133723,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-68.03634201682617,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-108.81924004091927,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",35,0,-156.8250585543286,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,3,-86.58129158709605,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-23.93367751722575,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-165.73052836977692,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-70.51424654967727,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",35,0,-208.0816352660368,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,14,-46.551244742619986,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-58.191087527160704,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,12,-50.483891290660715,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,7,-68.18074592759956,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,9,-6.112130213459283,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-89.11780761613682,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-137.45330488101928,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,16,14.93306415935882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
