trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.0}",20,0,-88.04778138154687,"{0: 8, 1: 10, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.0, 'e': 0.0}",20,0,-82.02044686698308,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.0, 'e': 0.0}",30,0,-79.29029644261071,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.0, 'e': 0.0}",20,0,-127.65099848854942,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.0, 'e': 0.0}",20,0,-35.65734195705794,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.0, 'e': 0.0}",20,0,-69.37360576300787,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.0, 'e': 0.0}",20,0,-40.87725100379516,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.0, 'e': 0.0}",25,0,-145.75599446189935,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.0, 'e': 0.0}",20,0,-46.35150487446232,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.0, 'e': 0.0}",20,0,-42.953782414889716,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.0, 'e': 0.0}",30,0,-107.42088811554636,"{0: 16, 1: 10, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.0, 'e': 0.0}",25,0,-100.36967689033854,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.0, 'e': 0.0}",20,0,-61.68861348505334,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.0, 'e': 0.0}",20,0,-66.57209246199913,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.0, 'e': 0.0}",30,0,-93.53961861855623,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.0, 'e': 0.0}",25,0,-187.54986102160547,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.0, 'e': 0.0}",25,0,-55.68283611196436,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.0, 'e': 0.0}",20,0,-45.21728704167402,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.0, 'e': 0.0}",20,0,-34.733139079786824,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.0, 'e': 0.0}",25,0,-113.54572150977772,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.17435305565605,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.62957029134232,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-147.37163140462386,"{0: 9, 1: 13, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.08793095799923,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.66608490227642,"{0: 9, 1: 9, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.2613403330391,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.53309934636269,"{0: 17, 1: 10, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.36219929801727,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-65.11255744570477,"{0: 18, 1: 8, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.47082678207164,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
