trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.0}",20,0,-87.39157574363615,"{0: 8, 1: 11, 2: 0, 3: 0, 4: 1}",0
2,False,"{'a': 0.0, 'e': 0.0}",20,0,-81.70667656166303,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.0, 'e': 0.0}",20,0,-86.4784214188105,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.0, 'e': 0.0}",25,0,-24.282107433188475,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.0, 'e': 0.0}",20,0,-13.34064479923734,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.0, 'e': 0.0}",35,0,-137.40637757860299,"{0: 17, 1: 11, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.0, 'e': 0.0}",30,0,-153.96640193636935,"{0: 15, 1: 9, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.0, 'e': 0.0}",25,0,-61.06633930117865,"{0: 12, 1: 11, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.0, 'e': 0.0}",25,0,-54.404362917991016,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.0, 'e': 0.0}",20,0,-32.08933717684872,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.0, 'e': 0.0}",20,0,-66.81228359454006,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.0, 'e': 0.0}",25,2,-25.734214889347836,"{0: 15, 1: 8, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.0, 'e': 0.0}",20,0,-23.570997426316445,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.0, 'e': 0.0}",25,0,-35.73752813204598,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.0, 'e': 0.0}",20,0,-40.019903800082226,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.0, 'e': 0.0}",30,0,-132.30540844964173,"{0: 14, 1: 13, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.0, 'e': 0.0}",20,0,-25.945188555501026,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.0, 'e': 0.0}",25,0,-140.34234751004956,"{0: 12, 1: 8, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.0, 'e': 0.0}",25,0,-44.86229032211095,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.0, 'e': 0.0}",20,0,-87.86173954698188,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-53.968798394246626,"{0: 17, 1: 7, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-140.8041971487434,"{0: 13, 1: 12, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.83833291859199,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-78.6779291388348,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-88.21964954532194,"{0: 17, 1: 6, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-121.93767975607096,"{0: 10, 1: 10, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-99.22018191777002,"{0: 12, 1: 10, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-59.576476875523916,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.611779831089246,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.483920796251944,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
